Event Name,description_1,campus_name,address,city,state,zip_code
True + Paid + Good House Party,"Are you ready to turn your â€œworkâ€ù into a vehicle for personal growth, creative expression, financial freedom and real social impact?
Do you crave transformative experiences that elevate your whole person and still celebrate your entrepreneurial spirit?
Would you like to learn how to leverage your passion, creativity and strengths into a viable, profitable enterprise?
Move The Crowdâ€™s House Parties create intimate, engaging experiences that build community, foster deeper engagement around the principles and ideals of conscious entrepreneurship and grow individual capacity. We are delighted to host our first LA House Party at General Assembly. We hit capacity in Brooklyn, so reserve your seat today.
On August 6th, join CEO & Founder of Move The Crowd, Rha Goddess, conscious media-maker and Senior MTC Trainer, JLove Calderon, and a vibrant crew of LA-based movers and shakers just like you, as we share our authentic stories, life-changing experiences and biggest learnings on the path to staying true, getting paid and doing good. There will be music, food/drinks and the opportunity to get clear on how to take your big dream to the next level in the second half of 2014.
- See more at: http://www.movethecrowd.me/event_calendar/los-angeles-house-party/#sthash.LaKRbW9n.dpuf",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Back-End Web Development,In this course students turn ideas into working applications by learning the fundamentals of programming with Ruby and Ruby on Rails.,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Selling Through Social Media,"Your company has a social media presence - but what are you doing to capitalize on it? Learn the steps to create engaging, sustainable, and traffic-driving content for social media. Weâ€™ll cover the mechanics behind creating an effective and engaging social media strategy, as well as acquiring and retaining fans to foster a robust captive marketing audience. And all without driving yourself nuts!",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
"""Be Careful What You Fish For"": Carapace Wetsuits Presents Shark Week Premiere Party","Come celebrate the launch of Carapace Wetsuits' new product line for scuba as well as the premiere of the wetsuit on the Discovery Channel's Shark Week this summer. Get fitted for your very own wetsuit, and watch an advanced screening of the episode. 
",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
DTLA Community Night,"Refresh your resume with a new skill this Fall and come back to school with General Assembly! Preview our Fall course selection, learn about upcoming workshops and events, meet instructors, hear from students, and get to know more about the growing General Assembly community in DTLA.
<ul>Fall Courses Include:
<li>Digital Marketing</li>
<li>User Experience Design</li>
<li>Front-End Web Development</li></ul>
",The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
The Art of Sales,"So your startup doesn't have any money for a fancy ad campaign or a seasoned sales exec. You can barely keep the lights on as it is. But you know that your product is amazing, and if only your clients knew about you, you would be raking in the dollars. For a struggling start up like yours, there is only one way to make that happen. Pick up the phone.
Cold calling is a deeply psychological exercise. Why is cold calling so hard? What do you feel when you get that call? When you make one? We'll tackle these issues so that you can build up your confidence and deliver a flawless call.
We'll then get into the anatomy of a call: what do you say? what do you talk about? And how do you get somebody from ""no"" to ""maybe""?
And finally, we'll explore the wonderful world of calling into large organizations--how to get to the right person, how to get past gatekeepers, and how to navigate the trifecta of calls, voicemail, and email.
Take this class and learn how to do it right. And if you're lucky, we might even do some live calls too.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
User Experience Design,Enter description,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Introduction to Python Programming,"Whether you have experience in programming or are looking to get started for the first time, getting involved in the Python community will put you on the fast track to honing your skills. In this class, youâ€™ll learn all about Python - including how to get started, what advantages and disadvantages Python provides as a programming language, the essentials of programming in Python, and what tools are available to build applications in Python.",The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
Net Gain: Making Money with Your Online Content,"With more and more bloggers and video producers creating high quality content and Internet advertising revenue passing cable TV with a total of $36 billion in 2011, the opportunity to turn your online content into revenue is now better than ever. In this workshop, weâ€™ll discuss what content creators and publishers need to know about advertisers and sponsors so that you can learn how to make money from your content online.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
HTML & CSS Basics,Enter description,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
Get the Picture: Intro to Data Visualization Tools with Microsoft Excel,"Whether youâ€™re an account, controller, business analyst, manager, report writer, or IT professional, learning how to further leverage the power of Microsoft Excel and better understand the needs of the business user community can do you good. In this workshop, youâ€™ll find out how to explore Excelâ€™s best built-in data visualization tools that you can start using today - no programming required. Learn to create a chart with just a few clicks, get introduced to â€œSparklinesâ€ù, conditional formatting data bars and icon sets, and â€œin cell chartâ€ù techniques using Excel formulas and special fonts. Youâ€™ll also learn how to use pivot tables for data visualization and examine the pros and cons of using pivot charts versus other charting techniques.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Meet + Hire UX Designers,"Looking for new teammates to help you analyze problems and create effective designs that better engage customers? Come meet LA's first cohort of talented & creative graduates of GA's <a href=""https://generalassemb.ly/education/user-experience-design-immersive/#curriculum-details"">User Experience Design Immersive course</a> on Wednesday, August 27th from 6:30-9:30pm at our Santa Monica campus!
You'll meet graduates who, having mastered their program, can:
- Apply best practices while analyzing problems and creating effective designs
- Express design ideas through site maps, user flows, and wireframes
- Create and communicate solutions to business problems that meet customer goals
- Come check out their portfolios of design work and talk to them about full-time, contract and apprenticeship opportunities.
General Assembly does not collect a commission for hiring our graduates and never will. Food and refreshments will be provided!
Companies & startups, come see the design talent for yourself!
<div style=""width:80%; margin:auto;"" >
<img src=""http://i.imgur.com/eGG41qE.jpg"" height=""100%"" width=""100%"">
</div>
Questions? Please email the Los Angeles graduate outcomes team, kat@ga.co or mikeb@ga.co!",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
GA Community Happy Hour,"Come celebrate the end of the work week with your pals at GA. Drinks are on us, so stop by for mingling, beverages, & great conversation with the movers & shakers of Silicon Beach.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
User Experience Design Immersive,Description,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
DTLA Community Night,"Refresh your resume with a new skill this Fall and come back to school with General Assembly! Preview our Fall course selection, learn about upcoming workshops and events, meet instructors, hear from students, and get to know more about the growing General Assembly community in DTLA.
<ul>Fall Courses Include:
<li>Digital Marketing</li>
<li>User Experience Design</li>
<li>Front-End Web Development</li></ul>
",The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
Business Strategy: Understanding Partnerships and Alliances,"Forming a partnership or an alliance with a well-known business or brand can be an enticing proposition â€“ it can fill a gap in capability and give you exposure to a new market, as you begin your growth journey. However, if not implemented properly, partnerships and alliances can have a negative impact on a business. In this workshop we will help you determine in which circumstances itâ€™s best to form a partnership or alliance. Our experts will guide you through some of the common traps in forming these relationships, and provide insight on everything from selecting the right partner to creating an agreement to managing the relationship.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Front-End Web Development,"Come join us for an intensive introductory course that gives you invaluable experience and helps build fluency in HTML, CSS and JavaScript. In this 10-week course, weâ€™ll equip you with basic skills that will allow you to implement your own designs and work more effectively with developers.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Back-End Web Development,In this course students turn ideas into working applications by learning the fundamentals of programming with Ruby and Ruby on Rails.,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Digital Marketing,"In this 8-week course, students will learn to plan and execute a marketing campaign, acquire and engage users, and quantify a strategies success.",HUB LA,830 Traction Ave. Suite 3A,Los Angeles,CA,90013
See It Through: Using Illustrator for Sitemaps and Wireframes,"Adobe Illustrator is one of the most underutilized programs for making sitemaps and wireframes. It is, however, one of the most powerful programs to do so â€” while also easily editable and versatile. In this class ideal for web designers, entrepreneurs, and anyone interested in communicating clearly and effectively, youâ€™ll learn how to use Illustrator to make sitemaps and wireframes, and gain a new way to express your ideas. ",The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
Front-End Web Development,"Come join us for an intensive introductory course that gives you invaluable experience and helps build fluency in HTML, CSS and JavaScript. In this 10-week course, weâ€™ll equip you with basic skills that will allow you to implement your own designs and work more effectively with developers.",The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
Data Science,Enter description,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
SQL Bootcamp,SQL provides powerful but reasonably simple tools for data analysis and handling.  This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.  We will use a combination of lecture and in-class exercises to ensure that students leave with a working grasp of SQL fundamentals.,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
User Experience Design,Enter description,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
Web Development Immersive,Enter description,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
Launch your Crowdfunding Video With Your iPhone or Smartphone,"Making a video can be, for many, the most challenging aspect of crowdfunding. What do you say in your video? Where do you shoot it? What equipment do you need? In this hands-on workshop you'll launch your crowdfunding video using your iPhone or Smartphone. Working with a production pro, youâ€™ll learn the essential elements for success in a crowdfunding video, and get the production tips youâ€™ll need to create a great video using your iPhone or Smartphone. ",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
LA Legal Hackers Meetup: Startups Disrupting the Legal Industry,"While the digital age has brought greater efficiency to almost every industry, the staid legal sector seems stubbornly stuck in the past. A group of innovators is changing things by using technology to make legal services more affordable and user-friendly. Their approaches include creating online services where users can quickly find legal help and using software to automate routine legal work. 
This event will feature short demos from consumer-and business-facing legal technology companies followed by a panel discussion on the challenges and opportunities associated with disrupting the legal industry. We'll discuss why the legal industry failed to innovate, where the biggest opportunities to disrupt are, if lawyers should be afraid, and much more. ",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
GA Community Happy Hour,"Come celebrate the end of the work week with your pals at GA. Drinks are on us, so stop by for mingling, beverages, & great conversation with the movers & shakers of Silicon Beach.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
GA Community Happy Hour,"Come celebrate the end of the work week with your pals at GA. Drinks are on us, so stop by for mingling, beverages, & great conversation with the movers & shakers of Silicon Beach.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
GA Community Happy Hour,"Come celebrate the end of the work week with your pals at GA. Drinks are on us, so stop by for mingling, beverages, & great conversation with the movers & shakers of Silicon Beach.",GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
